Brand and Variety,Phos,Protein,Sodium,Fat,Carbs,Cals,Obtained,meal,label
Nulo MedalSeries Grain Free Limited Ingredient Diet Cat & Kitten Chicken,1.02,41.57,0.65,19.73,27.85,3799,26-Nov-19,159.4499035,NURSING CATS
Nutrisca Grain Free Chicken Recipe*,1.02,42.8,0.46,16.6,24.6,3645,21-Jan-20,168.0835491,NURSING CATS
VeRUS Feline Life Advantage,1.03,34.1,0.26,20.66,29.21,4785,27-Jan-20,178.3178568,NURSING CATS
Performatrin Hairball Formula,1.03,36.3,0.52,21,21.1,3830,28-Nov-19,170.0905155,NURSING CATS
Catered Bowl Antibiotic-free Turkey & Brown Rice*,1.04,33.33,0.34,17.06,37,3750,11-Nov-19,193.3522778,NURSING CATS
Tender & True Antibiotic-free Turkey & Brown Rice*,1.04,33.33,0.34,17.06,37,3750,11-Nov-19,193.3522778,NURSING CATS
Chicken Soup for the Soul Grain Free Salmon & Legumes,1.04,35.75,0.3,17.19,35.42,3596,28-Oct-19,184.4933426,NURSING CATS
Dr Pol's Grain Free 34/15 Cat & Kitten,1.04,37.78,0.29,16.67,34.59,3715,17-Jan-20,180.5086309,NURSING CATS
Rayne Clinical Nutrition Rabbit Maintenance,1.04,38.72,0.64,14.62,35.41,3530,27-Nov-19,187.9677731,NURSING CATS
Stella and Chewy's Raw Blend Cage-Free Recipe*,1.04,44.3,0.25,17.6,35.1,3818,21-Jan-20,160.7326082,NURSING CATS
Fromm Duck À La Veg,1.05,37.16,0.43,21.66,32.95,3757,31-Jan-20,165.7353542,NURSING CATS
Performatrin Ultra Healthy Weight with Salmon Recipe,1.05,37.2,0.49,13.2,30.7,3380,28-Nov-19,201.1241447,NURSING CATS
Hill's Healthy Advantage Kitten,1.05,37.3,0.43,24.8,28.3,4139,01-Feb-20,158.3066678,NURSING CATS
Annamaet Grain Free Chicken Meal & Whitefish Meal,1.05,44,0.41,20,15.5,4149,26-Nov-19,153.1818182,NURSING CATS
NutriSource Cat & Kitten Chicken & Rice,1.06,32.4,0.59,19.25,na,4098,28-Jan-20,188.8808722,NURSING CATS
Hill's Science Diet Kitten Chicken,1.06,37.8,0.56,23.5,30,4152,01-Feb-20,159.5294383,NURSING CATS
Nature's Harvest Adult Grain Free Chicken*,1.06,38.89,na,22.22,23.33,4260,02-Dec-19,159.4309598,NURSING CATS
Farmina Natural and Delicious Low Ancestral Grain Chicken & Pomegranate Neutered,1.06,40.43,0.74,10.64,34.26,3877,11-Dec-16,214.1917991,NURSING CATS
Nulo MedalSeries Grain Free Limited Ingredient Diet Cat & Kitten Turkey,1.06,41.57,0.28,19.73,25.6,3726,26-Nov-19,159.4499035,NURSING CATS
Stella and Chewy's Raw-Coated Cage-Free Chicken*,1.06,43.2,0.25,18.2,31,3837,21-Jan-20,160.8414733,NURSING CATS
Performatrin Ultra Chicken & Brown Rice Recipe,1.07,36.1,0.45,22,29.3,3865,28-Nov-19,168.1188617,NURSING CATS
"Wellness Complete Health Chicken, Chicken Meal & Rice",1.07,42.07,0.3,21.14,26.96,3952,01-Feb-20,154.2210475,NURSING CATS
Life's Abundance All Life Stages Grain Free,1.08,40.86,0.63,20.43,30.1,3961,27-Nov-19,159.0797846,NURSING CATS
Nature's Logic Chicken,1.08,40.9,0.36,22.4,28.62,3964,15-Nov-20,153.8159273,NURSING CATS
"RAWZ Meal Free Salmon, Dehydrated Chicken & Whitefish",1.08,45.3,0.41,16.46,28.56,3710,03-Dec-19,163.411736,NURSING CATS
Dr Elsey's Clean Protein Chicken Recipe,1.08,62.6,0.58,19.46,4.69,4008,22-Sep-19,127.1601614,NURSING CATS
Performatrin Adult Formula,1.09,35.9,0.53,20.1,30.2,4110,28-Nov-19,173.9076207,NURSING CATS
Lovibles Kitten,1.09,36.1,0.48,16.6,33,4185,22-Jan-20,185.8625638,NURSING CATS
Performatrin Healthy Weight Formula,1.09,36.2,0.46,14.3,24.4,3360,28-Nov-19,197.1757524,NURSING CATS
Taste of the Wild Prey Limited Ingredient Turkey,1.09,36.8,0.44,14.2,37.5,3689,18-Oct-19,195.9200857,NURSING CATS
Performatrin Indoor Formula,1.09,36.8,0.51,16.7,29.7,3740,28-Nov-19,183.2693309,NURSING CATS
AvoDerm Salmon & Brown Rice,1.09,36.96,0.33,19.57,27,3793,24-Jul-19,172.2490803,NURSING CATS
Fromm Gold Kitten,1.09,37.16,0.43,21.66,32.76,4410,31-Jan-20,165.7353542,NURSING CATS
PureVita Grain Free Salmon & Green Pea Entrée,1.1,31.4,0.9,18.3,na,4068,28-Jan-20,196.1470189,NURSING CATS
Exclusive Chicken & Brown Rice Weight Management/Hairball Care,1.1,32.5,0.66,10.08,31.94,3320,12-Nov-19,245.2014652,NURSING CATS
Exclusive Chicken & Brown Rice,1.1,32.5,0.67,21.3,25.56,3860,12-Nov-19,182.4918743,NURSING CATS
PureVita Grain Free Chicken & Peas Entrée,1.1,32.7,0.7,18.8,na,3992,28-Jan-20,189.2120502,NURSING CATS
Lone Star Meow for More,1.1,34.16,0.49,11.44,na,3370,01-Feb-20,224.9185241,NURSING CATS
Pro Pac Ultimates Deep Sea Select,1.1,34.8,0.4,16.3,39.1,3705,11-Nov-19,191.4357239,NURSING CATS
Lovibles Seafood,1.1,34.8,0.48,14.5,35.8,4060,22-Jan-20,200.5747126,NURSING CATS
NutriSource Grain Free Country Select Entrée,1.1,36,0.3,16,na,4036,28-Jan-20,188.8888889,NURSING CATS
Pro Pac Ultimates Savanna Pride,1.1,37,0.3,16.3,39.1,3730,11-Nov-19,184.4304427,NURSING CATS
Fromm Hasen Duckenpfeffer,1.1,37.32,0.41,19.37,21.16,3708,31-Jan-20,171.8121359,NURSING CATS
Instinct Limited Ingredient Diet Rabbit,1.1,38,0.55,20.88,24.18,3890,08-Nov-19,165.3660012,NURSING CATS
Orijen Cat & Kitten,1.1,44,0.44,22,21,4060,23-Sep-19,147.7272727,NURSING CATS
GO! Solutions Carnivore 74% Grain Free Salmon & Cod,1.1,46,0.45,18,25,4239,31-Oct-19,155.7971014,NURSING CATS
Wellness Complete Health Grain Free Adult Chicken & Chicken Meal,1.1,47.12,0.29,19.67,21.83,3907,01-Feb-20,148.0184936,NURSING CATS
Wellness Complete Health Grain Free Kitten Chicken & Chicken Meal,1.1,47.12,0.29,19.67,21.83,3907,01-Feb-20,148.0184936,NURSING CATS
Catered Bowl Salmon & Sweet Potato*,1.11,28.33,na,11.67,na,4700,11-Nov-19,247.5506721,NURSING CATS
Tender & True Salmon & Sweet Potato*,1.11,28.33,na,11.67,na,4700,11-Nov-19,247.5506721,NURSING CATS
Nature's Harvest Senior/Weight Management*,1.11,32.22,na,13.33,40,3870,02-Dec-19,217.2726608,NURSING CATS
Nature's Harvest Adult/Kitten Grain Free*,1.11,35.56,na,21.11,28.89,3690,02-Dec-19,172.1431848,NURSING CATS
Nature's Harvest Grain-Free Cod*,1.11,40,0.44,22.22,na,na,03-Feb-20,156.5054005,NURSING CATS
"Wellness Complete Health Healthy Weight Chicken,
Chicken Meal & Turkey Meal",1.12,33.97,0.24,13.48,43.58,3520,01-Feb-20,209.7155022,NURSING CATS
Fromm Gold Mature,1.13,33.28,0.4,13.77,43.79,4017,31-Jan-20,210.3430849,NURSING CATS
Fromm Salmon À La Veg,1.13,35.18,0.47,17.2,39.2,3679,31-Jan-20,186.3109325,NURSING CATS
DAD'S Special Mix*,1.13,37.17,0.74,10.75,49.34,3350,25-Nov-19,221.9319156,NURSING CATS
Performatrin Kitten Formula,1.13,38.6,0.57,23.3,25.8,4230,28-Nov-19,157.7197625,NURSING CATS
Performatrin Ultra Lamb & Brown Rice Adult Recipe,1.14,35.9,0.49,21.1,29,3865,28-Nov-19,171.078166,NURSING CATS
Organix Grain Free Organic Healthy Kitten,1.14,37.5,0.31,16.3,37.57,3590,17-Nov-16,182.9529652,NURSING CATS
Wellness Complete Health Senior Chicken & Chicken Meal,1.14,43.1,0.32,16.14,29.4,3738,01-Feb-20,169.4770526,NURSING CATS
Fromm Game Bird Recipe,1.16,38.6,0.44,20.09,30.81,3654,31-Jan-20,165.9488261,NURSING CATS
Nulo Freestyle Grain Free Indoor Adult Duck & Lentils,1.16,43.78,0.45,19.73,23.21,3724,26-Nov-19,154.4711532,NURSING CATS
Farmina Natural and Delicious Low Ancestral Grain Chicken & Pomegranate,1.17,38.3,0.53,21.28,29.79,4383,11-Dec-16,163.4405858,NURSING CATS
Stella and Chewy's Raw-Coated Cage-Free Salmon*,1.17,39.8,0.25,15.9,36.4,3687,21-Jan-20,178.4867735,NURSING CATS
Lovibles Chicken,1.18,35,0.5,14.5,34.7,4021,22-Jan-20,199.9014778,NURSING CATS
Hill's Science Diet Kitten Indoor,1.18,38.4,0.54,20.7,31.5,3997,01-Feb-20,164.7418478,NURSING CATS
Fromm Salmon Tunachovy,1.18,38.7,0.45,17.18,33.57,3621,31-Jan-20,175.7918137,NURSING CATS
Fromm Gold Adult,1.19,34.96,0.44,19.68,36.93,4318,31-Jan-20,178.2524976,NURSING CATS
Nulo MedalSeries Grain Free Adult Salmon & Lentils,1.19,43.51,0.36,21.89,22.65,3881,26-Nov-19,149.0507635,NURSING CATS
Nulo MedalSeries Grain Free Indoor Adult Duck & Cod,1.19,43.78,0.39,16.49,26.34,3493,26-Nov-19,166.4214451,NURSING CATS
"Canidae All Life Stages Indoor Adult with Chicken, Turkey, Lamb & Fish Meals",1.2,33.15,0.33,15.76,39,4198,23-Jul-19,199.8223733,NURSING CATS
AvoDerm Adult Grain Free Turkey Meal,1.2,33.7,0.43,18.48,30,3685,24-Jul-19,186.596786,NURSING CATS
AvoDerm Adult Grain Free Ocean Fish & Chicken Meal Formula,1.2,33.7,0.54,17.39,31,3635,24-Jul-19,190.6668965,NURSING CATS
Evanger's Grain Free Meat Lover's Medley with Rabbit,1.2,35.6,0.2,15.1,31,na,16-Sep-16,194.638738,NURSING CATS
Taste of the Wild Canyon River with Trout & Smoked Salmon,1.2,36,0.38,17.5,36.4,3741,23-Sep-19,182.4603175,NURSING CATS
FirstMate Cat/Kitten,1.2,36,0.8,21,29,3660,25-Nov-19,171.031746,NURSING CATS
Earthborn Holistic Feline Vantage,1.2,39.1,0.3,15.2,39.1,3770,15-Jan-20,183.8067035,NURSING CATS
GO! Solutions Carnivore 70% Grain Free Lamb & Wild Boar,1.2,47,0.47,16,26,4147,31-Oct-19,162.2340426,NURSING CATS
Dr Elsey's Clean Protein with Salmon,1.2,58.35,0.65,19.02,9.06,3976,22-Sep-19,133.357121,NURSING CATS
AvoDerm Grain Free Duck with Turkey Meal,1.21,35.8,0.39,17.7,39,3563,24-Jul-19,182.3217498,NURSING CATS
Chicken Soup for the Soul Classic Adult Chicken & Brown Rice,1.21,37.76,0.5,20.28,30.15,3732,28-Oct-19,167.7521061,NURSING CATS
Nulo MedalSeries Grain Free Cat & Kitten Turkey & Cod,1.21,44.86,0.37,21.89,21.54,3953,26-Nov-19,146.2150048,NURSING CATS
Catered Bowl Ocean Whitefish & Potato*,1.22,33.33,0.38,17.06,35,3750,11-Nov-19,193.3522778,NURSING CATS
Tender & True Ocean Whitefish & Potato*,1.22,33.33,0.38,17.06,35,3750,11-Nov-19,193.3522778,NURSING CATS
Chicken Soup for the Soul Classic Indoor Chicken & Brown Rice,1.22,36.05,0.49,14.89,35.33,3425,28-Oct-19,194.3219299,NURSING CATS
Farmina Natural and Delicious Low Ancestral Grain Codfish & Orange,1.22,38.3,0.85,21.28,29.89,4476,11-Dec-16,163.4405858,NURSING CATS
Lotus Oven-Baked Chicken Recipe Adult,1.22,39.17,0.41,21.39,26.27,3697,28-Jan-20,160.7729246,NURSING CATS
Nulo MedalSeries Grain Free Indoor Adult Turkey & Chicken,1.22,41.71,0.35,18.41,27.13,3632,26-Nov-19,163.4797366,NURSING CATS
Nulo MedalSeries Grain Free Indoor Adult Trout & Duck,1.22,41.89,0.35,15.75,28.5,3428,26-Nov-19,174.0658641,NURSING CATS
"Nulo MedalSeries Grain FreeSenior Cat Turkey, Alaska Pollock & Red Lentils",1.22,42.31,0.35,15.66,28.61,3454,26-Nov-19,173.5321577,NURSING CATS
Nulo MedalSeries Grain Free Cat & Kitten Cod & Duck,1.22,43.1,0.36,17.84,27.22,3685,26-Nov-19,162.3921842,NURSING CATS
Open Farm Homestead Turkey & Chicken,1.22,44.57,0.37,21.74,21.74,3840,17-Jan-20,147.18792,NURSING CATS
Country Vet Choice 30/11 Kitten & Adult,1.23,33.34,0.27,12.23,37.03,3280,17-Jan-20,221.0947835,NURSING CATS
Nulo MedalSeries Grain Free Adult Chicken & Peas,1.23,43.51,0.37,21.89,22.71,3868,26-Nov-19,149.0507635,NURSING CATS
Horizon Complete All Life Stages,1.24,33.52,0.46,18.05,31.36,3680,25-Nov-19,188.7970303,NURSING CATS
Health Extension Chicken & Brown Rice,1.24,38,0.26,20,31,3719,07-Dec-16,167.8947368,NURSING CATS
Dr Tim's Chase,1.24,38,0.74,22,20,4140,29-Oct-19,162.4401914,NURSING CATS
Health Extension Grain Free Turkey & Salmon Recipe,1.24,39,0.23,20,33,3744,07-Dec-16,165.1282051,NURSING CATS
Merrick Limited Ingredient Grain Free Turkey,1.24,39.2,0.78,15.6,34.62,3588,18-Nov-16,181.5149137,NURSING CATS
Fromm Surf & Turf,1.24,41.99,0.48,21.79,23.8,3696,31-Jan-20,152.7134293,NURSING CATS
DAD'S Original*,1.25,36.24,0.41,11.51,47.76,3370,25-Nov-19,217.3918255,NURSING CATS
Dave’s Naturally Healthy Adult*,1.25,41.81,0.32,20.8,na,3777,30-Dec-19,155.7549721,NURSING CATS
Nulo Freestyle Grain Free Cat and Kitten Chicken & Cod,1.25,44.23,0.33,22.25,21.44,3868,26-Nov-19,146.6298486,NURSING CATS
Nulo Freestyle Grain Free Adult Trim Salmon & Lentils,1.25,45.86,0.37,13.76,23.89,3538,26-Nov-19,176.6118318,NURSING CATS
Chicken Soup for the Soul Classic Weight & Mature Care Chicken & Brown Rice,1.26,37.81,0.49,9.38,37.15,3113,28-Oct-19,236.3686912,NURSING CATS
Fromm Chicken au Frommage,1.27,38.1,0.52,21.02,na,3752,31-Jan-20,164.7000357,NURSING CATS
Wellness Natural Hairball Control Chicken Meal & Rice,1.27,41.63,0.28,18.29,27.72,3614,01-Feb-20,164.096291,NURSING CATS
Wellness Complete Health Grain Free Indoor Chicken & Chicken Meal,1.27,41.91,0.3,13.91,29.91,3451,01-Feb-20,184.0975518,NURSING CATS
Wellness Complete Health Grain Free Indoor Healthy Weight Chicken & Turkey,1.27,41.91,0.3,13.91,29.91,3451,01-Feb-20,184.0975518,NURSING CATS
Farmina Natural and Delicious Low Ancestral Grain Lamb & Blueberry,1.28,38.3,0.64,21.28,29.79,4240,11-Dec-16,163.4405858,NURSING CATS
Open Farm Catch-of-the-Season Whitefish,1.28,44.57,0.37,21.74,21.74,3840,17-Jan-20,147.18792,NURSING CATS
Nulo MedalSeries Grain Free Adult Weight Management Salmon & Sweet Potato,1.29,43.51,0.41,14.05,28.79,3446,26-Nov-19,179.6404639,NURSING CATS
Wysong Anergen,1.3,30.3,0.2,13.5,37.2,3301,16-Oct-19,224.2024202,NURSING CATS
Canidae Grain Free PURE Stream With Real Trout,1.3,34.78,0.33,17.39,35,3670,07-Dec-16,186.8890167,NURSING CATS
Canidae Grain Free PURE Sea With Real Salmon,1.3,34.78,0.33,18.48,34,3750,07-Dec-16,182.8189062,NURSING CATS
PureVita Grain Free Duck & Red Lentils Entrée,1.3,35,0.4,14.5,na,3880,28-Jan-20,199.9014778,NURSING CATS
Evanger's Grain Free Catch of the Day,1.3,35.6,0.2,18.6,29.5,3758,16-Sep-16,179.6846684,NURSING CATS
Wysong Geriatrx,1.3,36.9,0.4,16.3,27.3,3528,16-Oct-19,184.730743,NURSING CATS
Canidae Grain Free PURE Elements With Real Chicken,1.3,38.04,0.33,19.57,29,3750,07-Dec-16,169.0996273,NURSING CATS
FirstMate indoor Formula,1.3,39,0.8,13,33,3295,25-Nov-19,197.4358974,NURSING CATS
Canidae Grain Free PURE Ocean Indoor Cat Formula With Fresh Tuna,1.3,39.13,0.33,13.04,33,3400,07-Dec-16,196.8034819,NURSING CATS
Nulo MedalSeries Grain Free Limited Ingredient Diet Cat & Kitten Cod,1.3,39.19,0.37,17.57,31.1,3657,26-Nov-19,172.9167608,NURSING CATS
Instinct Limited Ingredient Diet Salmon,1.3,41,0.88,18.7,28.57,4400,08-Nov-19,164.171123,NURSING CATS
Open Farm Wild Caught Salmon,1.3,44.57,0.37,21.74,21.74,3840,17-Jan-20,147.18792,NURSING CATS
FirstMate Grain Free Pacific Ocean Fish Meal With Blueberries,1.3,47,1.7,20,22,3700,25-Nov-19,147.2340426,NURSING CATS
GO! Sensitivity + Shine Grain Free Freshwater Trout & Salmon,1.3,50,0.65,21,20,4444,31-Oct-19,139.1428571,NURSING CATS
Country Vet Premium 30/15 Kitten & Adult,1.31,33.34,0.26,16.67,33.52,3570,17-Jan-20,194.9610078,NURSING CATS
Rancher's Choice 31.5/11 Cat & Kitten,1.31,35,0.29,12.23,36.93,3325,17-Jan-20,215.2622357,NURSING CATS
Taste of the Wild Rocky Mountain with Roasted Venison & Smoked Salmon,1.31,47,0.44,19.7,21.5,3745,23-Sep-19,148.1477481,NURSING CATS
Nulo Freestyle Freeze-Dried Raw Cat & Kitten Chicken & Salmon,1.31,60.62,0.45,30.1,0.78,4437,26-Nov-19,107.5015537,NURSING CATS
Azmira Classic Cat Formula*,1.32,33.08,0.33,11.38,na,3425,16-Jan-20,229.3901135,NURSING CATS
Lotus Grain Free Oven-Baked Duck Recipe Adult,1.32,38.6,0.59,17.22,31.69,3531,28-Jan-20,175.9040277,NURSING CATS
Catered Bowl Organic Chicken & Liver*,1.33,33.33,0.23,18.89,30,3500,11-Nov-19,186.5379762,NURSING CATS
Tender & True Organic Chicken & Liver*,1.33,33.33,0.23,18.89,30,3500,11-Nov-19,186.5379762,NURSING CATS
Catered Bowl Organic Turkey & Liver*,1.33,33.33,0.29,18,30,3650,11-Nov-19,189.6789679,NURSING CATS
Tender & True Organic Turkey & Liver*,1.33,33.33,0.29,18,30,3650,11-Nov-19,189.6789679,NURSING CATS
Country Vet Naturals 34/15 Grain Free,1.33,37.78,0.29,16.67,30.47,3588,17-Jan-20,180.5086309,NURSING CATS
Nature's Logic Turkey,1.33,41.5,0.32,15.6,27.5,3957,15-Nov-20,175.7182576,NURSING CATS
Open Farm Pasture Raised Lamb,1.33,44.57,0.37,21.74,21.74,3840,17-Jan-20,147.18792,NURSING CATS
Nulo Freestyle Adult Hairball Management Turkey & Cod,1.33,44.98,0.4,17.57,21.75,3534,26-Nov-19,159.4498586,NURSING CATS
"RAWZ Meal Free Dehydrated Chicken, Turkey & Chicken",1.33,48.12,0.36,14.48,25.69,3710,03-Dec-19,168.0765857,NURSING CATS
AvoDerm Grain Free Salmon with Tuna Meal,1.34,37.8,0.53,19.6,35,3595,24-Jul-19,169.6900983,NURSING CATS
DAD'S Gourmet Blend Natural*,1.35,37.33,0.74,11.49,47.93,3380,25-Nov-19,214.2698772,NURSING CATS
Canidae All Life Stages With Chicken Meal & Rice,1.36,34.78,0.33,21.74,34,4400,23-Jul-19,173.0816334,NURSING CATS
"Canidae All Life Stages With Chicken, Turkey, Lamb & Fish Meals",1.36,34.78,0.33,21.74,34,4585,23-Jul-19,173.0816334,NURSING CATS
"Holistic Select Grain Free Indoor Health/Weight Control (Turkey, Chicken & Herring Meal)",1.37,36.8,0.33,14.84,35.03,3547,01-Feb-20,192.2755772,NURSING CATS
Holistic Select Grain Free Adult & Kitten Health Chicken Meal,1.37,38.8,0.41,20.98,28.63,3851,01-Feb-20,162.8674339,NURSING CATS
Petkind Green Tripe & High Seas*,1.38,37.78,1.01,17.78,25.5,3705,17-Jan-20,176.0145916,NURSING CATS
Nature's Logic Rabbit,1.38,41.6,0.36,16,23.9,4041,15-Nov-20,173.5576923,NURSING CATS
Farmina Natural and Delicious Grain Free Lamb & Blueberry,1.38,44.68,0.64,21.28,22.66,4417,11-Dec-16,148.1546301,NURSING CATS
Farmina Natural and Delicious Grain Free Boar & Apple,1.38,46.81,0.64,21.28,20.74,4396,11-Dec-16,143.9790996,NURSING CATS
Farmina Natural and Delicious Grain Free Kitten Chicken & Pomegranate,1.38,46.81,0.64,21.28,20.96,4344,11-Dec-16,143.9790996,NURSING CATS
Farmina Natural and Delicious Grain Free Adult Chicken & Pomegranate,1.38,46.81,0.64,21.28,20.96,4448,11-Dec-16,143.9790996,NURSING CATS
Farmina Natural and Delicious Grain Free Fish & Orange,1.38,46.81,0.85,21.28,20.96,4456,11-Dec-16,143.9790996,NURSING CATS
Farmina Natural and Delicious Grain Free Chicken & Pomegranate Neutered,1.38,48.94,0.64,11.7,24.47,3904,11-Dec-16,186.3401549,NURSING CATS
Performatrin Ultra Original Grain-Free Kitten Recipe,1.39,44.6,0.37,20.2,20.2,3915,16-Jan-20,151.3341917,NURSING CATS
Performatrin Ultra Grain-Free Recipe,1.39,44.6,0.37,20.2,20.2,3915,28-Nov-19,151.3341917,NURSING CATS
Summit,1.4,31,0.37,18,40,3499,31-Oct-19,198.9247312,NURSING CATS
Diamond Care Weight Management,1.4,35.8,0.51,10.3,34.5,3080,12-Nov-19,231.029994,NURSING CATS
NutriSource Grain Free Ocean Select Entrée,1.4,36.7,1.5,16,na,4004,28-Jan-20,186.7166213,NURSING CATS
Wysong Vitality,1.4,38.7,0.4,17.2,23.8,3552,16-Oct-19,175.7105943,NURSING CATS
Acana Appalachian Ranch,1.4,39,0.39,22,24,3980,29-Oct-19,159.6736597,NURSING CATS
Acana Grasslands,1.4,39,0.44,22,24,3980,29-Oct-19,159.6736597,NURSING CATS
Wysong Nurture,1.4,40.4,0.4,15.9,23.3,3584,16-Oct-19,176.9568466,NURSING CATS
Wysong Fundamentals,1.4,42.1,0.4,15.8,24.6,3480,16-Oct-19,173.3365405,NURSING CATS
Wysong Nurture with Quail,1.4,43.7,0.4,17.1,22.3,3608,16-Oct-19,163.9969489,NURSING CATS
Orijen Six Fish,1.4,44,0.78,22,20,4060,23-Sep-19,147.7272727,NURSING CATS
Wellness Complete Health Grain Free Senior Chicken & Chicken Meal,1.4,46.66,0.43,14.75,26.12,3392,01-Feb-20,169.2256279,NURSING CATS
Instinct Ultimate Protein Chicken,1.4,52,0.67,18.89,13.33,4470,08-Nov-19,142.3718288,NURSING CATS
Wellness RawRev indoor with 100% Raw Freeze-Dried Turkey Liver,1.41,42.55,0.29,15.49,31.47,3627,01-Feb-20,173.8265618,NURSING CATS
Wellness CORE Indoor Cat Chicken & Turkey,1.41,43.26,0.29,14.95,29.35,3561,01-Feb-20,175.0433329,NURSING CATS
Taste of the Wild Prey Limited Ingredient Angus Beef,1.42,33.6,0.42,14.2,41.3,3650,18-Oct-19,206.5308518,NURSING CATS
Wellness Complete Health Grain Free Salmon & Salmon Meal,1.42,42.17,0.61,17.42,26.18,3672,01-Feb-20,166.1118533,NURSING CATS
"Rachael Ray Nutrish PEAK Rustic Woodlands Indoor with Chicken, Turkey, & Duck*",1.42,43.96,0.58,15.38,na,3551,06-Jan-20,171.290013,NURSING CATS
Wellness CORE Grain-Free Indoor Salmon & Herring,1.43,43.04,0.41,11.32,30.39,3277,01-Feb-20,201.2672902,NURSING CATS
ZiwiPeak New Zealand Air-Dried Venison,1.43,54,0.77,32,7,4700,01-Feb-20,113.4259259,NURSING CATS
Fussie Cat Quail & Duck Meal*,1.44,36.67,na,16.67,na,3598,17-Jan-20,183.7936203,NURSING CATS
Whole Earth Farms Grain Free Real Turkey & Duck,1.45,39.87,0.7,16.8,30.27,3515,25-Oct-19,174.2627826,NURSING CATS
Nulo Freestyle Grain Free Cat and Kitten Turkey & Duck,1.45,43.78,0.45,19.73,23.36,3696,26-Nov-19,154.4711532,NURSING CATS
Merrick Limited Ingredient Grain Free Chicken,1.46,41.02,0.64,16.16,29.65,3588,18-Nov-16,174.208669,NURSING CATS
Whole Earth Farms Grain Free Real Chicken,1.46,41.02,0.83,16.16,29.65,3459,25-Oct-19,174.208669,NURSING CATS
I and Love and You Nude Food Surf n' Chick,1.46,49.95,na,23.33,na,3817,08-Nov-19,133.5180015,NURSING CATS
Holistic Select Grain Free Adult Anchovy & Sardine and Salmon Meal,1.47,38.12,0.46,21.68,28.04,3921,01-Feb-20,162.9056427,NURSING CATS
I and Love and You Nude Food Poultry & Plenty,1.47,49.9,na,21.85,na,3732,08-Nov-19,137.0842371,NURSING CATS
"Chicken Soup for the Soul Classic Kitten Chicken, Brown Rice & Pea",1.48,40.06,0.37,22.42,24.72,3797,28-Oct-19,155.8701199,NURSING CATS
Artemis OSOPure Grain Free Salmon and Garbanzo Bean,1.5,40.4,0.39,21.9,25.6,3861,09-Dec-16,156.2796691,NURSING CATS
Instinct Raw Boost Indoor Health Chicken,1.5,41,0.66,14.29,26.37,3861,08-Nov-19,183.9748076,NURSING CATS
Instinct Raw Boost Healthy Weight Chicken,1.5,41,0.77,13.19,25.27,3709,08-Nov-19,190.9780136,NURSING CATS
I and Love and You Naked Essentials Salmon & Trout,1.5,42.87,0.5,17.37,na,3421,08-Nov-19,164.7226039,NURSING CATS
Merrick Purrfect Bistro Grain Free Healthy Kitten Recipe Kitten,1.5,43.63,0.38,20.06,22.52,3755,26-Jun-19,153.792576,NURSING CATS
Orijen Regional Red,1.5,44,0.56,22,19,4060,23-Sep-19,147.7272727,NURSING CATS
Earthborn Holistic Grain Free Primitive Feline,1.5,47.8,0.3,21.7,20.1,3925,15-Jan-20,141.0735977,NURSING CATS
ZiwiPeak New Zealand Free Range Chicken,1.5,48,0.68,39,1,5500,01-Feb-20,116.1858974,NURSING CATS
"GO! Solutions 84% Carnivore Grain Free Chicken, Turkey & Duck",1.5,51,0.49,21,17,4298,31-Oct-19,137.535014,NURSING CATS
Wellness Complete Health Grain Free Indoor Salmon & Herring,1.52,38.21,0.53,12.55,31.77,3432,01-Feb-20,202.9192833,NURSING CATS
Nutrisca Grain Free Salmon Recipe*,1.52,40.3,0.93,15.7,30.2,3560,21-Jan-20,178.1700937,NURSING CATS
Feline Natural Lamb & King Salmon Feast Freeze Dried*,1.52,47.83,na,40.22,na,5197,01-Feb-20,115.5561618,NURSING CATS
Only Natural Pet Feline Powerfood Kitten Power Dinner*,1.53,50.89,0.52,23.44,na,3750,29-Jan-20,131.7604658,NURSING CATS
"Rachael Ray Nutrish PEAK Woodland Catch With Chicken, Trout & Salmon*",1.54,43.96,0.88,19.78,na,3756,06-Jan-20,153.9339468,NURSING CATS
Merrick Purrfect Bistro Grain Free Healthy Weight Recipe Adult,1.54,46.6,0.55,15.5,28.64,3215,26-Jun-19,165.4021875,NURSING CATS
ZiwiPeak New Zealand Air-Dried Lamb,1.56,43,0.77,41,3,5600,01-Feb-20,124.6171299,NURSING CATS
Orijen Tundra,1.56,44,0.44,22,20,4120,23-Sep-19,147.7272727,NURSING CATS
Diamond Naturals Chicken & Rice Indoor Formula,1.6,36.4,0.58,15.8,30.9,3350,12-Nov-19,188.5867297,NURSING CATS
Diamond Naturals Chicken & Rice Formula Kitten,1.6,38.9,0.47,24.6,24.5,4052,12-Nov-19,154.1789454,NURSING CATS
Earthborn Holistic Grain Free Wild Sea Catch,1.6,47.8,0.4,21.7,19,3895,15-Jan-20,141.0735977,NURSING CATS
I and Love and You Naked Essentials Chicken & Duck,1.63,42.21,0.54,17.33,na,3502,08-Nov-19,166.3774661,NURSING CATS
Merrick Purrfect Bistro Grain Free Healthy Senior Recipe Senior,1.63,44.44,0.62,16.56,29.13,3431,26-Jun-19,164.722994,NURSING CATS
